SerialNum, Co2, Humid, Pm10, Pm5, Temp, Vocs, timeZone, ReportTime, Lat, Long
24:0A:C4:22:41:26,439,45.8,17,16,35,6,GMT+09:00,20220719200217 ,37.5635937,127.0476815
24:0A:C4:22:41:26,444,45.7,16,16,35,7,GMT+09:00,20220719200218 ,37.5635937,127.0476815
24:0A:C4:22:41:26,447,45.7,16,16,35,8,GMT+09:00,20220719200219 ,37.5635937,127.0476815
24:0A:C4:22:41:26,439,45.7,16,16,35,6,GMT+09:00,20220719200220 ,37.5635937,127.0476815
24:0A:C4:22:41:26,444,45.8,16,16,35,7,GMT+09:00,20220719200221 ,37.5635937,127.0476815
24:0A:C4:22:41:26,444,45.8,16,16,35,7,GMT+09:00,20220719200221 ,37.5635937,127.0476815
24:0A:C4:22:41:26,447,45.7,16,16,35,8,GMT+09:00,20220719200222 ,37.5635937,127.0476815
24:0A:C4:22:41:26,444,45.8,16,16,35,7,GMT+09:00,20220719200223 ,37.5635937,127.0476815
24:0A:C4:22:41:26,444,45.8,16,16,35,7,GMT+09:00,20220719200223 ,37.5635937,127.0476815
24:0A:C4:22:41:26,444,45.7,16,16,35,7,GMT+09:00,20220719200224 ,37.5635937,127.0476815
24:0A:C4:22:41:26,444,45.7,16,16,35,7,GMT+09:00,20220719200224 ,37.5635937,127.0476815
24:0A:C4:22:41:26,434,45.8,16,15,35,6,GMT+09:00,20220719200225 ,37.5635937,127.0476815
24:0A:C4:22:41:26,434,45.8,16,15,35,6,GMT+09:00,20220719200225 ,37.5635937,127.0476815
24:0A:C4:22:41:26,444,45.8,16,15,35,7,GMT+09:00,20220719200226 ,37.5635604,127.0477066
24:0A:C4:22:41:26,444,45.8,16,15,35,7,GMT+09:00,20220719200226 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,16,15,35,8,GMT+09:00,20220719200227 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,16,15,35,8,GMT+09:00,20220719200227 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,16,15,35,8,GMT+09:00,20220719200228 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,16,15,35,8,GMT+09:00,20220719200228 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,16,15,35,8,GMT+09:00,20220719200229 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,16,15,35,8,GMT+09:00,20220719200229 ,37.5635604,127.0477066
24:0A:C4:22:41:26,444,45.8,15,15,35,7,GMT+09:00,20220719200230 ,37.5635604,127.0477066
24:0A:C4:22:41:26,444,45.8,15,15,35,7,GMT+09:00,20220719200230 ,37.5635604,127.0477066
24:0A:C4:22:41:26,444,45.7,15,15,35,7,GMT+09:00,20220719200231 ,37.5635604,127.0477066
24:0A:C4:22:41:26,444,45.7,15,15,35,7,GMT+09:00,20220719200231 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,15,15,35,8,GMT+09:00,20220719200232 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,15,15,35,8,GMT+09:00,20220719200232 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,15,15,35,8,GMT+09:00,20220719200233 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,15,15,35,8,GMT+09:00,20220719200234 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,15,15,35,8,GMT+09:00,20220719200235 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,15,15,35,8,GMT+09:00,20220719200236 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,15,15,35,8,GMT+09:00,20220719200237 ,37.5635604,127.0477066
24:0A:C4:22:41:26,444,45.8,15,15,35,7,GMT+09:00,20220719200238 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.7,16,15,35,8,GMT+09:00,20220719200239 ,37.5635604,127.0477066
24:0A:C4:22:41:26,450,45.8,16,15,35,8,GMT+09:00,20220719200240 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,16,15,35,8,GMT+09:00,20220719200241 ,37.5635604,127.0477066
24:0A:C4:22:41:26,450,45.8,16,15,35,8,GMT+09:00,20220719200242 ,37.5635604,127.0477066
24:0A:C4:22:41:26,447,45.8,16,16,35,8,GMT+09:00,20220719200243 ,37.5635604,127.0477066
24:0A:C4:22:41:26,444,45.8,18,16,35,7,GMT+09:00,20220719200244 ,37.5635604,127.0477066
24:0A:C4:22:41:26,450,45.8,18,16,35,8,GMT+09:00,20220719200245 ,37.5635604,127.0477066
24:0A:C4:22:41:26,444,45.8,17,16,35,7,GMT+09:00,20220719200246 ,37.5635379,127.0477067
24:0A:C4:22:41:26,444,45.8,18,17,35,7,GMT+09:00,20220719200247 ,37.5635379,127.0477067
24:0A:C4:22:41:26,447,45.8,18,17,35,8,GMT+09:00,20220719200248 ,37.5635379,127.0477067
24:0A:C4:22:41:26,447,45.8,18,17,35,8,GMT+09:00,20220719200249 ,37.5635379,127.0477067
24:0A:C4:22:41:26,447,45.8,18,17,35,8,GMT+09:00,20220719200250 ,37.5635379,127.0477067
24:0A:C4:22:41:26,455,45.8,18,17,35,9,GMT+09:00,20220719200251 ,37.5635379,127.0477067
24:0A:C4:22:41:26,447,45.8,19,17,35,8,GMT+09:00,20220719200252 ,37.5635379,127.0477067
24:0A:C4:22:41:26,447,45.8,19,18,35,8,GMT+09:00,20220719200253 ,37.5635379,127.0477067
24:0A:C4:22:41:26,460,45.8,19,17,35.1,10,GMT+09:00,20220719200254 ,37.5635379,127.0477067
24:0A:C4:22:41:26,450,45.8,19,17,35,8,GMT+09:00,20220719200255 ,37.5635379,127.0477067
24:0A:C4:22:41:26,450,45.8,19,18,35,8,GMT+09:00,20220719200256 ,37.5635379,127.0477067
24:0A:C4:22:41:26,447,45.8,19,18,35,8,GMT+09:00,20220719200257 ,37.5635379,127.0477067
24:0A:C4:22:41:26,450,45.7,19,18,35.1,8,GMT+09:00,20220719200258 ,37.5635379,127.0477067
24:0A:C4:22:41:26,455,45.8,19,17,35,9,GMT+09:00,20220719200259 ,37.5635379,127.0477067
24:0A:C4:22:41:26,455,45.7,18,17,35,9,GMT+09:00,20220719200300 ,37.5635379,127.0477067
24:0A:C4:22:41:26,455,45.8,18,16,35.1,9,GMT+09:00,20220719200301 ,37.5635379,127.0477067
24:0A:C4:22:41:26,450,45.8,17,16,35,8,GMT+09:00,20220719200302 ,37.5635379,127.0477067
24:0A:C4:22:41:26,455,45.7,18,16,35.1,9,GMT+09:00,20220719200303 ,37.5635379,127.0477067
24:0A:C4:22:41:26,463,45.8,17,16,35,10,GMT+09:00,20220719200304 ,37.5635379,127.0477067
24:0A:C4:22:41:26,450,45.8,18,17,35,8,GMT+09:00,20220719200305 ,37.5635379,127.0477067
24:0A:C4:22:41:26,450,45.8,18,17,35.1,8,GMT+09:00,20220719200306 ,37.5635283,127.0476347
24:0A:C4:22:41:26,455,45.7,18,17,35.1,9,GMT+09:00,20220719200307 ,37.5635283,127.0476347
24:0A:C4:22:41:26,455,45.8,17,17,35.1,9,GMT+09:00,20220719200308 ,37.5635283,127.0476347
24:0A:C4:22:41:26,460,45.8,17,17,35,10,GMT+09:00,20220719200309 ,37.5635283,127.0476347
24:0A:C4:22:41:26,455,45.8,17,16,35.1,9,GMT+09:00,20220719200310 ,37.5635283,127.0476347
